url	citing_bundled_sources	verification_status
https://raw.githubusercontent.com/chromium/chromium/main/media/formats/webm/webm_cluster_parser.cc	sources/proposals/R102-R115-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/google/libultrahdr/main/lib/src/gainmapmath.cpp	sources/proposals/Demuxe_R301_R306_Proposals.md; sources/reports/R239-R246-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/google/libultrahdr/main/ultrahdr_api.h	sources/proposals/Demuxe_R301_R306_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/gpac/mp4box.js/main/src/boxes/sidx.ts	sources/proposals/Demuxe_R348_R352_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/gpac/mp4box.js/main/src/boxes/stts.ts	sources/proposals/Demuxe_R295_R300_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/gpac/mp4box.js/main/src/isofile.ts	sources/proposals/Demuxe_R295_R300_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/gpuweb/gpuweb/main/spec/index.bs	sources/proposals/Demuxe_R332_R337_Proposals.md; sources/proposals/Demuxe_R358_R362_Proposals.md; sources/proposals/Demuxe_R363_R366_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/gpuweb/gpuweb/main/wgsl/index.bs	sources/proposals/Demuxe_R358_R362_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/haasn/libplacebo/master/src/renderer.c	sources/proposals/Demuxe_R338_R342_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/jiixyj/libebur128/v1.2.6/ebur128/ebur128.c	sources/proposals/Demuxe_R353_R357_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
